fund_code,archetype,composite,ff5_adj_return
11,均衡型(其他),-0.3388650820414087,-0.0084148888388725
17,均衡型(其他),-0.3067790812402042,0.0164847649949621
20,均衡型(其他),-0.3123051649850936,0.0095254252166679
21,均衡型(其他),-0.2096249555497638,0.012186250420382
31,均衡型(其他),-0.2875659253522805,-0.0132287624758803
61,均衡型(其他),-0.1040265094393237,0.0345973353470991
73,均衡型(其他),-0.2962548538448974,0.0298618339942805
263,低偏误纪律型,-0.1196726404406746,0.0289038419962925
308,均衡型(其他),-0.1972954223693506,0.0201569034228364
327,均衡型(其他),-0.4385841667557287,0.0113605716679312
354,低偏误纪律型,-0.1487889501477114,0.0011142615429632
390,均衡型(其他),-0.3644677813707823,0.0194793348007424
404,均衡型(其他),0.2004942915253207,0.0334394588103164
522,行业集中下注型,0.4062992981222921,0.0574214690458094
601,均衡型(其他),-0.2590251602445815,0.0247740204065876
742,低偏误纪律型,0.0950579747800584,0.0094496121602618
800,均衡型(其他),-0.4261629917976615,0.0043489068422433
823,低偏误纪律型,-0.0851514644014771,0.0094689412426303
845,均衡型(其他),-0.4789109914592449,-0.0096163974742206
940,均衡型(其他),-0.1124872026803412,0.040730266272866
1000,低偏误纪律型,-0.0274803980903963,0.0275394459193409
1037,均衡型(其他),-0.4443829368768833,0.0044610465246065
1060,低偏误纪律型,0.1199744111652189,0.0193381303205619
1075,均衡型(其他),-0.1815790662158141,0.0193667332588229
1076,均衡型(其他),-0.1719437138177529,0.0359882904287955
1088,均衡型(其他),-0.4404771605411841,0.0099084712319878
1170,均衡型(其他),-0.1259831515301037,0.0230825530010874
1184,均衡型(其他),-0.3211719098456608,0.0055573141940628
1194,均衡型(其他),0.2262878390613353,0.0471055233046176
1198,均衡型(其他),-0.3460753716817364,0.0216410769014476
1267,均衡型(其他),-0.3639705753701903,0.0147682793306558
1407,均衡型(其他),-0.1632530605962577,0.0456990060087916
1411,均衡型(其他),-0.1184163959650182,0.0207264845833167
1412,均衡型(其他),-0.1173014329627175,0.0435415798796138
1437,均衡型(其他),-0.0949496226458537,0.0593786015805047
1438,均衡型(其他),-0.154020274152455,0.0502021692969099
1475,行业集中下注型,-0.0785553405107367,0.0013426567563733
1480,均衡型(其他),-0.1830435591379235,0.0399517113148676
1513,行业集中下注型,0.271521311628606,0.0467116104318334
1664,低偏误纪律型,-0.1002410293591363,0.0106987988722928
1665,低偏误纪律型,-0.1273692326539775,0.0095692848150145
1702,行业集中下注型,0.1264628863245225,0.0215979835834719
1715,高换手噪声型(输家),-2.522014814817535,0.0355899850324437
1723,均衡型(其他),-0.105286339525634,0.0271738342569197
1753,均衡型(其他),-0.4450898416251831,0.0531595727795297
1759,均衡型(其他),0.0124701152902057,0.0059405694618421
1811,均衡型(其他),0.0151736159685164,0.0295950408943053
1856,均衡型(其他),0.0241237748530375,0.0381132262994896
1881,均衡型(其他),-0.3812287724660827,0.0176115317554051
1985,均衡型(其他),-0.1969052042858378,0.0164904967550533
1998,高换手噪声型(输家),-2.502211328425223,0.0340359479893788
2051,均衡型(其他),-0.116585319275939,0.019168136020958
2112,均衡型(其他),-0.0694634324318358,0.0410840981359171
2125,均衡型(其他),-0.3269514378954317,0.001950677708882
2152,均衡型(其他),-0.0286822680676427,0.0420819081333534
2163,均衡型(其他),-0.2221543222984381,0.0333941350822328
2244,均衡型(其他),-0.4219046199610052,0.014968761854289
2376,均衡型(其他),-0.3279108293765725,-0.0051890261597323
2420,均衡型(其他),0.1150923815124202,0.0284840114675784
2450,低偏误纪律型,0.0139686070506065,0.0186145566771846
2451,低偏误纪律型,0.0582331220513123,0.0233036862837639
2692,行业集中下注型,-0.0358005725420166,0.013175884085027
2910,均衡型(其他),0.1742714785103289,0.0281094749503532
3567,均衡型(其他),-0.0167412411149879,0.0503623635101491
3857,均衡型(其他),-0.226045187631949,0.0298473317361301
3858,均衡型(其他),-0.2314277189152826,0.0294571018394105
3961,均衡型(其他),0.1680052275553243,0.0254938973250571
