证券代码,证券简称,日期,月涨跌幅
600068.SH,葛洲坝,20260831,
600068.SH,葛洲坝,20260830,
600068.SH,葛洲坝,20260829,
600068.SH,葛洲坝,20260828,
600068.SH,葛洲坝,20260827,
600068.SH,葛洲坝,20260826,
600068.SH,葛洲坝,20260825,
600068.SH,葛洲坝,20260824,
600068.SH,葛洲坝,20260823,
600068.SH,葛洲坝,20260822,
600068.SH,葛洲坝,20260821,
600068.SH,葛洲坝,20260820,
600068.SH,葛洲坝,20260819,
600068.SH,葛洲坝,20260818,
600068.SH,葛洲坝,20260817,
600068.SH,葛洲坝,20260816,
600068.SH,葛洲坝,20260815,
600068.SH,葛洲坝,20260814,
600068.SH,葛洲坝,20260813,
600068.SH,葛洲坝,20260812,
600068.SH,葛洲坝,20260811,
600068.SH,葛洲坝,20260810,
600068.SH,葛洲坝,20260809,
600068.SH,葛洲坝,20260808,
600068.SH,葛洲坝,20260807,
600068.SH,葛洲坝,20260806,
600068.SH,葛洲坝,20260805,
600068.SH,葛洲坝,20260804,
600068.SH,葛洲坝,20260803,
600068.SH,葛洲坝,20260802,
600068.SH,葛洲坝,20260801,
600068.SH,葛洲坝,20260731,
600068.SH,葛洲坝,20260730,
600068.SH,葛洲坝,20260729,
600068.SH,葛洲坝,20260728,
600068.SH,葛洲坝,20260727,
600068.SH,葛洲坝,20260726,
600068.SH,葛洲坝,20260725,
600068.SH,葛洲坝,20260724,
600068.SH,葛洲坝,20260723,
600068.SH,葛洲坝,20260722,
600068.SH,葛洲坝,20260721,
600068.SH,葛洲坝,20260720,
600068.SH,葛洲坝,20260719,
600068.SH,葛洲坝,20260718,
600068.SH,葛洲坝,20260717,
600068.SH,葛洲坝,20260716,
600068.SH,葛洲坝,20260715,
600068.SH,葛洲坝,20260714,
600068.SH,葛洲坝,20260713,
600068.SH,葛洲坝,20260712,
600068.SH,葛洲坝,20260711,
600068.SH,葛洲坝,20260710,
600068.SH,葛洲坝,20260709,
600068.SH,葛洲坝,20260708,
600068.SH,葛洲坝,20260707,
600068.SH,葛洲坝,20260706,
600068.SH,葛洲坝,20260705,
600068.SH,葛洲坝,20260704,
600068.SH,葛洲坝,20260703,
600068.SH,葛洲坝,20260702,
600068.SH,葛洲坝,20260701,
600068.SH,葛洲坝,20260630,
600068.SH,葛洲坝,20260629,
600068.SH,葛洲坝,20260628,
600068.SH,葛洲坝,20260627,
600068.SH,葛洲坝,20260626,
600068.SH,葛洲坝,20260625,
600068.SH,葛洲坝,20260624,
600068.SH,葛洲坝,20260623,
600068.SH,葛洲坝,20260622,
600068.SH,葛洲坝,20260621,
600068.SH,葛洲坝,20260620,
600068.SH,葛洲坝,20260619,
600068.SH,葛洲坝,20260618,
600068.SH,葛洲坝,20260617,
600068.SH,葛洲坝,20260616,
600068.SH,葛洲坝,20260615,
600068.SH,葛洲坝,20260614,
600068.SH,葛洲坝,20260613,
600068.SH,葛洲坝,20260612,
600068.SH,葛洲坝,20260611,
600068.SH,葛洲坝,20260610,
600068.SH,葛洲坝,20260609,
600068.SH,葛洲坝,20260608,
600068.SH,葛洲坝,20260607,
600068.SH,葛洲坝,20260606,
600068.SH,葛洲坝,20260605,
600068.SH,葛洲坝,20260604,
600068.SH,葛洲坝,20260603,
600068.SH,葛洲坝,20260602,
600068.SH,葛洲坝,20260601,
600068.SH,葛洲坝,20260531,
600068.SH,葛洲坝,20260530,
600068.SH,葛洲坝,20260529,
600068.SH,葛洲坝,20260528,
600068.SH,葛洲坝,20260527,
600068.SH,葛洲坝,20260526,
600068.SH,葛洲坝,20260525,
600068.SH,葛洲坝,20260524,
600068.SH,葛洲坝,20260523,
600068.SH,葛洲坝,20260522,
600068.SH,葛洲坝,20260521,
600068.SH,葛洲坝,20260520,
600068.SH,葛洲坝,20260519,
600068.SH,葛洲坝,20260518,
600068.SH,葛洲坝,20260517,
600068.SH,葛洲坝,20260516,
600068.SH,葛洲坝,20260515,
600068.SH,葛洲坝,20260514,
600068.SH,葛洲坝,20260513,
600068.SH,葛洲坝,20260512,
600068.SH,葛洲坝,20260511,
600068.SH,葛洲坝,20260510,
600068.SH,葛洲坝,20260509,
600068.SH,葛洲坝,20260508,
600068.SH,葛洲坝,20260507,
600068.SH,葛洲坝,20260506,
600068.SH,葛洲坝,20260505,
600068.SH,葛洲坝,20260504,
600068.SH,葛洲坝,20260503,
600068.SH,葛洲坝,20260502,
600068.SH,葛洲坝,20260501,
600068.SH,葛洲坝,20260430,
600068.SH,葛洲坝,20260429,
600068.SH,葛洲坝,20260428,
600068.SH,葛洲坝,20260427,
600068.SH,葛洲坝,20260426,
600068.SH,葛洲坝,20260425,
600068.SH,葛洲坝,20260424,
600068.SH,葛洲坝,20260423,
600068.SH,葛洲坝,20260422,
600068.SH,葛洲坝,20260421,
600068.SH,葛洲坝,20260420,
600068.SH,葛洲坝,20260419,
600068.SH,葛洲坝,20260418,
600068.SH,葛洲坝,20260417,
600068.SH,葛洲坝,20260416,
600068.SH,葛洲坝,20260415,
